id,infinitive,definition,mood,subject,tense,answer
6098,cocinar,to cook,Continuous (Progressive),Ud.,Imperfect,estaba cocinando
6099,cocinar,to cook,Continuous (Progressive),él,Conditional,estaría cocinando
6100,cocinar,to cook,Continuous (Progressive),ella,Conditional,estaría cocinando
6101,cocinar,to cook,Continuous (Progressive),Ud.,Conditional,estaría cocinando
6102,cocinar,to cook,Continuous (Progressive),él,Future,estará cocinando
6103,cocinar,to cook,Continuous (Progressive),ella,Future,estará cocinando
6104,cocinar,to cook,Continuous (Progressive),Ud.,Future,estará cocinando
6105,cocinar,to cook,Continuous (Progressive),nosotros,Present,estamos cocinando
6106,cocinar,to cook,Continuous (Progressive),nosotros,Preterite,estuvimos cocinando
6107,cocinar,to cook,Continuous (Progressive),nosotros,Imperfect,estábamos cocinando
6108,cocinar,to cook,Continuous (Progressive),nosotros,Conditional,estaríamos cocinando
6109,cocinar,to cook,Continuous (Progressive),nosotros,Future,estaremos cocinando
6110,cocinar,to cook,Continuous (Progressive),vosotros,Present,estáis cocinando
6111,cocinar,to cook,Continuous (Progressive),vosotros,Preterite,estuvisteis cocinando
6112,cocinar,to cook,Continuous (Progressive),vosotros,Imperfect,estabais cocinando
6113,cocinar,to cook,Continuous (Progressive),vosotros,Conditional,estaríais cocinando
6114,cocinar,to cook,Continuous (Progressive),vosotros,Future,estaréis cocinando
6115,cocinar,to cook,Continuous (Progressive),ellos,Present,están cocinando
6116,cocinar,to cook,Continuous (Progressive),ellas,Present,están cocinando
6117,cocinar,to cook,Continuous (Progressive),Uds.,Present,están cocinando
6118,cocinar,to cook,Continuous (Progressive),ellos,Preterite,estuvieron cocinando
6119,cocinar,to cook,Continuous (Progressive),ellas,Preterite,estuvieron cocinando
6120,cocinar,to cook,Continuous (Progressive),Uds.,Preterite,estuvieron cocinando
6121,cocinar,to cook,Continuous (Progressive),ellos,Imperfect,estaban cocinando
6122,cocinar,to cook,Continuous (Progressive),ellas,Imperfect,estaban cocinando
6123,cocinar,to cook,Continuous (Progressive),Uds.,Imperfect,estaban cocinando
6124,cocinar,to cook,Continuous (Progressive),ellos,Conditional,estarían cocinando
6125,cocinar,to cook,Continuous (Progressive),ellas,Conditional,estarían cocinando
6126,cocinar,to cook,Continuous (Progressive),Uds.,Conditional,estarían cocinando
6127,cocinar,to cook,Continuous (Progressive),ellos,Future,estarán cocinando
6128,cocinar,to cook,Continuous (Progressive),ellas,Future,estarán cocinando
6129,cocinar,to cook,Continuous (Progressive),Uds.,Future,estarán cocinando
6130,cocinar,to cook,Perfect,yo,Present,he cocinado
6131,cocinar,to cook,Perfect,yo,Preterite,hube cocinado
6132,cocinar,to cook,Perfect,yo,Past,había cocinado
6133,cocinar,to cook,Perfect,yo,Conditional,habría cocinado
6134,cocinar,to cook,Perfect,yo,Future,habré cocinado
6135,cocinar,to cook,Perfect,tú,Present,has cocinado
6136,cocinar,to cook,Perfect,tú,Preterite,hubiste cocinado
6137,cocinar,to cook,Perfect,tú,Past,habías cocinado
6138,cocinar,to cook,Perfect,tú,Conditional,habrías cocinado
6139,cocinar,to cook,Perfect,tú,Future,habrás cocinado
6140,cocinar,to cook,Perfect,él,Present,ha cocinado
6141,cocinar,to cook,Perfect,ella,Present,ha cocinado
6142,cocinar,to cook,Perfect,Ud.,Present,ha cocinado
6143,cocinar,to cook,Perfect,él,Preterite,hubo cocinado
6144,cocinar,to cook,Perfect,ella,Preterite,hubo cocinado
6145,cocinar,to cook,Perfect,Ud.,Preterite,hubo cocinado
6146,cocinar,to cook,Perfect,él,Past,había cocinado
6147,cocinar,to cook,Perfect,ella,Past,había cocinado
6148,cocinar,to cook,Perfect,Ud.,Past,había cocinado
6149,cocinar,to cook,Perfect,él,Conditional,habría cocinado
6150,cocinar,to cook,Perfect,ella,Conditional,habría cocinado
6151,cocinar,to cook,Perfect,Ud.,Conditional,habría cocinado
6152,cocinar,to cook,Perfect,él,Future,habrá cocinado
6153,cocinar,to cook,Perfect,ella,Future,habrá cocinado
6154,cocinar,to cook,Perfect,Ud.,Future,habrá cocinado
6155,cocinar,to cook,Perfect,nosotros,Present,hemos cocinado
6156,cocinar,to cook,Perfect,nosotros,Preterite,hubimos cocinado
6157,cocinar,to cook,Perfect,nosotros,Past,habíamos cocinado
6158,cocinar,to cook,Perfect,nosotros,Conditional,habríamos cocinado
6159,cocinar,to cook,Perfect,nosotros,Future,habremos cocinado
6160,cocinar,to cook,Perfect,vosotros,Present,habéis cocinado
6161,cocinar,to cook,Perfect,vosotros,Preterite,hubisteis cocinado
6162,cocinar,to cook,Perfect,vosotros,Past,habíais cocinado
6163,cocinar,to cook,Perfect,vosotros,Conditional,habríais cocinado
6164,cocinar,to cook,Perfect,vosotros,Future,habréis cocinado
6165,cocinar,to cook,Perfect,ellos,Present,han cocinado
6166,cocinar,to cook,Perfect,ellas,Present,han cocinado
6167,cocinar,to cook,Perfect,Uds.,Present,han cocinado
6168,cocinar,to cook,Perfect,ellos,Preterite,hubieron cocinado
6169,cocinar,to cook,Perfect,ellas,Preterite,hubieron cocinado
6170,cocinar,to cook,Perfect,Uds.,Preterite,hubieron cocinado
6171,cocinar,to cook,Perfect,ellos,Past,habían cocinado
6172,cocinar,to cook,Perfect,ellas,Past,habían cocinado
6173,cocinar,to cook,Perfect,Uds.,Past,habían cocinado
6174,cocinar,to cook,Perfect,ellos,Conditional,habrían cocinado
6175,cocinar,to cook,Perfect,ellas,Conditional,habrían cocinado
6176,cocinar,to cook,Perfect,Uds.,Conditional,habrían cocinado
6177,cocinar,to cook,Perfect,ellos,Future,habrán cocinado
6178,cocinar,to cook,Perfect,ellas,Future,habrán cocinado
6179,cocinar,to cook,Perfect,Uds.,Future,habrán cocinado
6180,cocinar,to cook,Perfect Subjunctive,yo,Present,haya cocinado
6181,cocinar,to cook,Perfect Subjunctive,yo,Past,hubiera cocinado
6182,cocinar,to cook,Perfect Subjunctive,yo,Future,hubiere cocinado
6183,cocinar,to cook,Perfect Subjunctive,tú,Present,hayas cocinado
6184,cocinar,to cook,Perfect Subjunctive,tú,Past,hubieras cocinado
6185,cocinar,to cook,Perfect Subjunctive,tú,Future,hubieres cocinado
6186,cocinar,to cook,Perfect Subjunctive,él,Present,haya cocinado
6187,cocinar,to cook,Perfect Subjunctive,ella,Present,haya cocinado
6188,cocinar,to cook,Perfect Subjunctive,Ud.,Present,haya cocinado
6189,cocinar,to cook,Perfect Subjunctive,él,Past,hubiera cocinado
6190,cocinar,to cook,Perfect Subjunctive,ella,Past,hubiera cocinado
6191,cocinar,to cook,Perfect Subjunctive,Ud.,Past,hubiera cocinado
6192,cocinar,to cook,Perfect Subjunctive,él,Future,hubiere cocinado
6193,cocinar,to cook,Perfect Subjunctive,ella,Future,hubiere cocinado
6194,cocinar,to cook,Perfect Subjunctive,Ud.,Future,hubiere cocinado
6195,cocinar,to cook,Perfect Subjunctive,nosotros,Present,hayamos cocinado
6196,cocinar,to cook,Perfect Subjunctive,nosotros,Past,hubiéramos cocinado
6197,cocinar,to cook,Perfect Subjunctive,nosotros,Future,hubiéremos cocinado
6198,cocinar,to cook,Perfect Subjunctive,vosotros,Present,hayáis cocinado
6199,cocinar,to cook,Perfect Subjunctive,vosotros,Past,hubierais cocinado
6200,cocinar,to cook,Perfect Subjunctive,vosotros,Future,hubiereis cocinado
6201,cocinar,to cook,Perfect Subjunctive,ellos,Present,hayan cocinado
6202,cocinar,to cook,Perfect Subjunctive,ellas,Present,hayan cocinado
6203,cocinar,to cook,Perfect Subjunctive,Uds.,Present,hayan cocinado
6204,cocinar,to cook,Perfect Subjunctive,ellos,Past,hubieran cocinado
6205,cocinar,to cook,Perfect Subjunctive,ellas,Past,hubieran cocinado
6206,cocinar,to cook,Perfect Subjunctive,Uds.,Past,hubieran cocinado
6207,cocinar,to cook,Perfect Subjunctive,ellos,Future,hubieren cocinado
6208,cocinar,to cook,Perfect Subjunctive,ellas,Future,hubieren cocinado
6209,cocinar,to cook,Perfect Subjunctive,Uds.,Future,hubieren cocinado
6210,coger,"to grab, to take",Indicative,yo,Present,cojo
6211,coger,"to grab, to take",Indicative,yo,Preterite,cogí
6212,coger,"to grab, to take",Indicative,yo,Imperfect,cogía
6213,coger,"to grab, to take",Indicative,yo,Conditional,cogería
6214,coger,"to grab, to take",Indicative,yo,Future,cogeré
6215,coger,"to grab, to take",Indicative,tú,Present,coges
6216,coger,"to grab, to take",Indicative,tú,Preterite,cogiste
6217,coger,"to grab, to take",Indicative,tú,Imperfect,cogías
6218,coger,"to grab, to take",Indicative,tú,Conditional,cogerías
6219,coger,"to grab, to take",Indicative,tú,Future,cogerás
6220,coger,"to grab, to take",Indicative,él,Present,coge
6221,coger,"to grab, to take",Indicative,ella,Present,coge
6222,coger,"to grab, to take",Indicative,Ud.,Present,coge
6223,coger,"to grab, to take",Indicative,él,Preterite,cogió
6224,coger,"to grab, to take",Indicative,ella,Preterite,cogió
6225,coger,"to grab, to take",Indicative,Ud.,Preterite,cogió
6226,coger,"to grab, to take",Indicative,él,Imperfect,cogía
6227,coger,"to grab, to take",Indicative,ella,Imperfect,cogía
6228,coger,"to grab, to take",Indicative,Ud.,Imperfect,cogía
6229,coger,"to grab, to take",Indicative,él,Conditional,cogería
6230,coger,"to grab, to take",Indicative,ella,Conditional,cogería
6231,coger,"to grab, to take",Indicative,Ud.,Conditional,cogería
6232,coger,"to grab, to take",Indicative,él,Future,cogerá
6233,coger,"to grab, to take",Indicative,ella,Future,cogerá
6234,coger,"to grab, to take",Indicative,Ud.,Future,cogerá
6235,coger,"to grab, to take",Indicative,nosotros,Present,cogemos
6236,coger,"to grab, to take",Indicative,nosotros,Preterite,cogimos
6237,coger,"to grab, to take",Indicative,nosotros,Imperfect,cogíamos
6238,coger,"to grab, to take",Indicative,nosotros,Conditional,cogeríamos
6239,coger,"to grab, to take",Indicative,nosotros,Future,cogeremos
6240,coger,"to grab, to take",Indicative,vosotros,Present,cogéis
6241,coger,"to grab, to take",Indicative,vosotros,Preterite,cogisteis
6242,coger,"to grab, to take",Indicative,vosotros,Imperfect,cogíais
6243,coger,"to grab, to take",Indicative,vosotros,Conditional,cogeríais
6244,coger,"to grab, to take",Indicative,vosotros,Future,cogeréis
6245,coger,"to grab, to take",Indicative,ellos,Present,cogen
6246,coger,"to grab, to take",Indicative,ellas,Present,cogen
6247,coger,"to grab, to take",Indicative,Uds.,Present,cogen
6248,coger,"to grab, to take",Indicative,ellos,Preterite,cogieron
6249,coger,"to grab, to take",Indicative,ellas,Preterite,cogieron
6250,coger,"to grab, to take",Indicative,Uds.,Preterite,cogieron
6251,coger,"to grab, to take",Indicative,ellos,Imperfect,cogían
6252,coger,"to grab, to take",Indicative,ellas,Imperfect,cogían
6253,coger,"to grab, to take",Indicative,Uds.,Imperfect,cogían
6254,coger,"to grab, to take",Indicative,ellos,Conditional,cogerían
6255,coger,"to grab, to take",Indicative,ellas,Conditional,cogerían
6256,coger,"to grab, to take",Indicative,Uds.,Conditional,cogerían
6257,coger,"to grab, to take",Indicative,ellos,Future,cogerán
6258,coger,"to grab, to take",Indicative,ellas,Future,cogerán
6259,coger,"to grab, to take",Indicative,Uds.,Future,cogerán
6260,coger,"to grab, to take",Subjunctive,yo,Present,coja
6261,coger,"to grab, to take",Subjunctive,yo,Imperfect,cogiera
6262,coger,"to grab, to take",Subjunctive,yo,Imperfect 2,cogiese
6263,coger,"to grab, to take",Subjunctive,yo,Future,cogiere
6264,coger,"to grab, to take",Subjunctive,tú,Present,cojas
6265,coger,"to grab, to take",Subjunctive,tú,Imperfect,cogieras
6266,coger,"to grab, to take",Subjunctive,tú,Imperfect 2,cogieses
6267,coger,"to grab, to take",Subjunctive,tú,Future,cogieres
6268,coger,"to grab, to take",Subjunctive,él,Present,coja
6269,coger,"to grab, to take",Subjunctive,ella,Present,coja
6270,coger,"to grab, to take",Subjunctive,Ud.,Present,coja
6271,coger,"to grab, to take",Subjunctive,él,Imperfect,cogiera
6272,coger,"to grab, to take",Subjunctive,ella,Imperfect,cogiera
6273,coger,"to grab, to take",Subjunctive,Ud.,Imperfect,cogiera
6274,coger,"to grab, to take",Subjunctive,él,Imperfect 2,cogiese
6275,coger,"to grab, to take",Subjunctive,ella,Imperfect 2,cogiese
6276,coger,"to grab, to take",Subjunctive,Ud.,Imperfect 2,cogiese
6277,coger,"to grab, to take",Subjunctive,él,Future,cogiere
6278,coger,"to grab, to take",Subjunctive,ella,Future,cogiere
6279,coger,"to grab, to take",Subjunctive,Ud.,Future,cogiere
6280,coger,"to grab, to take",Subjunctive,nosotros,Present,cojamos
6281,coger,"to grab, to take",Subjunctive,nosotros,Imperfect,cogiéramos
6282,coger,"to grab, to take",Subjunctive,nosotros,Imperfect 2,cogiésemos
6283,coger,"to grab, to take",Subjunctive,nosotros,Future,cogiéremos
6284,coger,"to grab, to take",Subjunctive,vosotros,Present,cojáis
6285,coger,"to grab, to take",Subjunctive,vosotros,Imperfect,cogierais
6286,coger,"to grab, to take",Subjunctive,vosotros,Imperfect 2,cogieseis
6287,coger,"to grab, to take",Subjunctive,vosotros,Future,cogiereis
6288,coger,"to grab, to take",Subjunctive,ellos,Present,cojan
6289,coger,"to grab, to take",Subjunctive,ellas,Present,cojan
6290,coger,"to grab, to take",Subjunctive,Uds.,Present,cojan
6291,coger,"to grab, to take",Subjunctive,ellos,Imperfect,cogieran
6292,coger,"to grab, to take",Subjunctive,ellas,Imperfect,cogieran
6293,coger,"to grab, to take",Subjunctive,Uds.,Imperfect,cogieran
6294,coger,"to grab, to take",Subjunctive,ellos,Imperfect 2,cogiesen
6295,coger,"to grab, to take",Subjunctive,ellas,Imperfect 2,cogiesen
6296,coger,"to grab, to take",Subjunctive,Uds.,Imperfect 2,cogiesen
6297,coger,"to grab, to take",Subjunctive,ellos,Future,cogieren
6298,coger,"to grab, to take",Subjunctive,ellas,Future,cogieren
6299,coger,"to grab, to take",Subjunctive,Uds.,Future,cogieren
6300,coger,"to grab, to take",Imperative,tú,Affirmative,coge
6301,coger,"to grab, to take",Imperative,tú,Negative,no cojas
6302,coger,"to grab, to take",Imperative,Ud.,Affirmative,coja
6303,coger,"to grab, to take",Imperative,Ud.,Negative,no coja
6304,coger,"to grab, to take",Imperative,nosotros,Affirmative,cojamos
6305,coger,"to grab, to take",Imperative,nosotros,Negative,no cojamos
6306,coger,"to grab, to take",Imperative,vosotros,Affirmative,coged
6307,coger,"to grab, to take",Imperative,vosotros,Negative,no cojáis
6308,coger,"to grab, to take",Imperative,Uds.,Affirmative,cojan
6309,coger,"to grab, to take",Imperative,Uds.,Negative,no cojan
6310,coger,"to grab, to take",Continuous (Progressive),yo,Present,estoy cogiendo
6311,coger,"to grab, to take",Continuous (Progressive),yo,Preterite,estuve cogiendo
6312,coger,"to grab, to take",Continuous (Progressive),yo,Imperfect,estaba cogiendo
6313,coger,"to grab, to take",Continuous (Progressive),yo,Conditional,estaría cogiendo
6314,coger,"to grab, to take",Continuous (Progressive),yo,Future,estaré cogiendo
6315,coger,"to grab, to take",Continuous (Progressive),tú,Present,estás cogiendo
6316,coger,"to grab, to take",Continuous (Progressive),tú,Preterite,estuviste cogiendo
6317,coger,"to grab, to take",Continuous (Progressive),tú,Imperfect,estabas cogiendo
6318,coger,"to grab, to take",Continuous (Progressive),tú,Conditional,estarías cogiendo
6319,coger,"to grab, to take",Continuous (Progressive),tú,Future,estarás cogiendo
6320,coger,"to grab, to take",Continuous (Progressive),él,Present,está cogiendo
6321,coger,"to grab, to take",Continuous (Progressive),ella,Present,está cogiendo
6322,coger,"to grab, to take",Continuous (Progressive),Ud.,Present,está cogiendo
6323,coger,"to grab, to take",Continuous (Progressive),él,Preterite,estuvo cogiendo
6324,coger,"to grab, to take",Continuous (Progressive),ella,Preterite,estuvo cogiendo
6325,coger,"to grab, to take",Continuous (Progressive),Ud.,Preterite,estuvo cogiendo
6326,coger,"to grab, to take",Continuous (Progressive),él,Imperfect,estaba cogiendo
6327,coger,"to grab, to take",Continuous (Progressive),ella,Imperfect,estaba cogiendo
6328,coger,"to grab, to take",Continuous (Progressive),Ud.,Imperfect,estaba cogiendo
6329,coger,"to grab, to take",Continuous (Progressive),él,Conditional,estaría cogiendo
6330,coger,"to grab, to take",Continuous (Progressive),ella,Conditional,estaría cogiendo
6331,coger,"to grab, to take",Continuous (Progressive),Ud.,Conditional,estaría cogiendo
6332,coger,"to grab, to take",Continuous (Progressive),él,Future,estará cogiendo
6333,coger,"to grab, to take",Continuous (Progressive),ella,Future,estará cogiendo
6334,coger,"to grab, to take",Continuous (Progressive),Ud.,Future,estará cogiendo
6335,coger,"to grab, to take",Continuous (Progressive),nosotros,Present,estamos cogiendo
6336,coger,"to grab, to take",Continuous (Progressive),nosotros,Preterite,estuvimos cogiendo
6337,coger,"to grab, to take",Continuous (Progressive),nosotros,Imperfect,estábamos cogiendo
6338,coger,"to grab, to take",Continuous (Progressive),nosotros,Conditional,estaríamos cogiendo
6339,coger,"to grab, to take",Continuous (Progressive),nosotros,Future,estaremos cogiendo
6340,coger,"to grab, to take",Continuous (Progressive),vosotros,Present,estáis cogiendo
6341,coger,"to grab, to take",Continuous (Progressive),vosotros,Preterite,estuvisteis cogiendo
6342,coger,"to grab, to take",Continuous (Progressive),vosotros,Imperfect,estabais cogiendo
6343,coger,"to grab, to take",Continuous (Progressive),vosotros,Conditional,estaríais cogiendo
6344,coger,"to grab, to take",Continuous (Progressive),vosotros,Future,estaréis cogiendo
6345,coger,"to grab, to take",Continuous (Progressive),ellos,Present,están cogiendo
6346,coger,"to grab, to take",Continuous (Progressive),ellas,Present,están cogiendo
6347,coger,"to grab, to take",Continuous (Progressive),Uds.,Present,están cogiendo
6348,coger,"to grab, to take",Continuous (Progressive),ellos,Preterite,estuvieron cogiendo
6349,coger,"to grab, to take",Continuous (Progressive),ellas,Preterite,estuvieron cogiendo
6350,coger,"to grab, to take",Continuous (Progressive),Uds.,Preterite,estuvieron cogiendo
6351,coger,"to grab, to take",Continuous (Progressive),ellos,Imperfect,estaban cogiendo
6352,coger,"to grab, to take",Continuous (Progressive),ellas,Imperfect,estaban cogiendo
6353,coger,"to grab, to take",Continuous (Progressive),Uds.,Imperfect,estaban cogiendo
6354,coger,"to grab, to take",Continuous (Progressive),ellos,Conditional,estarían cogiendo
6355,coger,"to grab, to take",Continuous (Progressive),ellas,Conditional,estarían cogiendo
6356,coger,"to grab, to take",Continuous (Progressive),Uds.,Conditional,estarían cogiendo
6357,coger,"to grab, to take",Continuous (Progressive),ellos,Future,estarán cogiendo
6358,coger,"to grab, to take",Continuous (Progressive),ellas,Future,estarán cogiendo
6359,coger,"to grab, to take",Continuous (Progressive),Uds.,Future,estarán cogiendo
6360,coger,"to grab, to take",Perfect,yo,Present,he cogido
6361,coger,"to grab, to take",Perfect,yo,Preterite,hube cogido
6362,coger,"to grab, to take",Perfect,yo,Past,había cogido
6363,coger,"to grab, to take",Perfect,yo,Conditional,habría cogido
6364,coger,"to grab, to take",Perfect,yo,Future,habré cogido
6365,coger,"to grab, to take",Perfect,tú,Present,has cogido
6366,coger,"to grab, to take",Perfect,tú,Preterite,hubiste cogido
6367,coger,"to grab, to take",Perfect,tú,Past,habías cogido
6368,coger,"to grab, to take",Perfect,tú,Conditional,habrías cogido
6369,coger,"to grab, to take",Perfect,tú,Future,habrás cogido
6370,coger,"to grab, to take",Perfect,él,Present,ha cogido
6371,coger,"to grab, to take",Perfect,ella,Present,ha cogido
6372,coger,"to grab, to take",Perfect,Ud.,Present,ha cogido
6373,coger,"to grab, to take",Perfect,él,Preterite,hubo cogido
6374,coger,"to grab, to take",Perfect,ella,Preterite,hubo cogido
6375,coger,"to grab, to take",Perfect,Ud.,Preterite,hubo cogido
6376,coger,"to grab, to take",Perfect,él,Past,había cogido
6377,coger,"to grab, to take",Perfect,ella,Past,había cogido
6378,coger,"to grab, to take",Perfect,Ud.,Past,había cogido
6379,coger,"to grab, to take",Perfect,él,Conditional,habría cogido
6380,coger,"to grab, to take",Perfect,ella,Conditional,habría cogido
6381,coger,"to grab, to take",Perfect,Ud.,Conditional,habría cogido
6382,coger,"to grab, to take",Perfect,él,Future,habrá cogido
6383,coger,"to grab, to take",Perfect,ella,Future,habrá cogido
6384,coger,"to grab, to take",Perfect,Ud.,Future,habrá cogido
6385,coger,"to grab, to take",Perfect,nosotros,Present,hemos cogido
6386,coger,"to grab, to take",Perfect,nosotros,Preterite,hubimos cogido
6387,coger,"to grab, to take",Perfect,nosotros,Past,habíamos cogido
6388,coger,"to grab, to take",Perfect,nosotros,Conditional,habríamos cogido
6389,coger,"to grab, to take",Perfect,nosotros,Future,habremos cogido
6390,coger,"to grab, to take",Perfect,vosotros,Present,habéis cogido
6391,coger,"to grab, to take",Perfect,vosotros,Preterite,hubisteis cogido
6392,coger,"to grab, to take",Perfect,vosotros,Past,habíais cogido
6393,coger,"to grab, to take",Perfect,vosotros,Conditional,habríais cogido
6394,coger,"to grab, to take",Perfect,vosotros,Future,habréis cogido
6395,coger,"to grab, to take",Perfect,ellos,Present,han cogido
6396,coger,"to grab, to take",Perfect,ellas,Present,han cogido
6397,coger,"to grab, to take",Perfect,Uds.,Present,han cogido
6398,coger,"to grab, to take",Perfect,ellos,Preterite,hubieron cogido
6399,coger,"to grab, to take",Perfect,ellas,Preterite,hubieron cogido
6400,coger,"to grab, to take",Perfect,Uds.,Preterite,hubieron cogido
6401,coger,"to grab, to take",Perfect,ellos,Past,habían cogido
6402,coger,"to grab, to take",Perfect,ellas,Past,habían cogido
6403,coger,"to grab, to take",Perfect,Uds.,Past,habían cogido
6404,coger,"to grab, to take",Perfect,ellos,Conditional,habrían cogido
6405,coger,"to grab, to take",Perfect,ellas,Conditional,habrían cogido
6406,coger,"to grab, to take",Perfect,Uds.,Conditional,habrían cogido
6407,coger,"to grab, to take",Perfect,ellos,Future,habrán cogido
6408,coger,"to grab, to take",Perfect,ellas,Future,habrán cogido
6409,coger,"to grab, to take",Perfect,Uds.,Future,habrán cogido
6410,coger,"to grab, to take",Perfect Subjunctive,yo,Present,haya cogido
6411,coger,"to grab, to take",Perfect Subjunctive,yo,Past,hubiera cogido
6412,coger,"to grab, to take",Perfect Subjunctive,yo,Future,hubiere cogido
6413,coger,"to grab, to take",Perfect Subjunctive,tú,Present,hayas cogido
6414,coger,"to grab, to take",Perfect Subjunctive,tú,Past,hubieras cogido
6415,coger,"to grab, to take",Perfect Subjunctive,tú,Future,hubieres cogido
6416,coger,"to grab, to take",Perfect Subjunctive,él,Present,haya cogido
6417,coger,"to grab, to take",Perfect Subjunctive,ella,Present,haya cogido
6418,coger,"to grab, to take",Perfect Subjunctive,Ud.,Present,haya cogido
6419,coger,"to grab, to take",Perfect Subjunctive,él,Past,hubiera cogido
6420,coger,"to grab, to take",Perfect Subjunctive,ella,Past,hubiera cogido
6421,coger,"to grab, to take",Perfect Subjunctive,Ud.,Past,hubiera cogido
6422,coger,"to grab, to take",Perfect Subjunctive,él,Future,hubiere cogido
6423,coger,"to grab, to take",Perfect Subjunctive,ella,Future,hubiere cogido
6424,coger,"to grab, to take",Perfect Subjunctive,Ud.,Future,hubiere cogido
6425,coger,"to grab, to take",Perfect Subjunctive,nosotros,Present,hayamos cogido
6426,coger,"to grab, to take",Perfect Subjunctive,nosotros,Past,hubiéramos cogido
6427,coger,"to grab, to take",Perfect Subjunctive,nosotros,Future,hubiéremos cogido
6428,coger,"to grab, to take",Perfect Subjunctive,vosotros,Present,hayáis cogido
6429,coger,"to grab, to take",Perfect Subjunctive,vosotros,Past,hubierais cogido
6430,coger,"to grab, to take",Perfect Subjunctive,vosotros,Future,hubiereis cogido
6431,coger,"to grab, to take",Perfect Subjunctive,ellos,Present,hayan cogido
6432,coger,"to grab, to take",Perfect Subjunctive,ellas,Present,hayan cogido
6433,coger,"to grab, to take",Perfect Subjunctive,Uds.,Present,hayan cogido
6434,coger,"to grab, to take",Perfect Subjunctive,ellos,Past,hubieran cogido
6435,coger,"to grab, to take",Perfect Subjunctive,ellas,Past,hubieran cogido
6436,coger,"to grab, to take",Perfect Subjunctive,Uds.,Past,hubieran cogido
6437,coger,"to grab, to take",Perfect Subjunctive,ellos,Future,hubieren cogido
6438,coger,"to grab, to take",Perfect Subjunctive,ellas,Future,hubieren cogido
6439,coger,"to grab, to take",Perfect Subjunctive,Uds.,Future,hubieren cogido
6440,comenzar,"to begin, to start",Indicative,yo,Present,comienzo
6441,comenzar,"to begin, to start",Indicative,yo,Preterite,comencé
6442,comenzar,"to begin, to start",Indicative,yo,Imperfect,comenzaba
6443,comenzar,"to begin, to start",Indicative,yo,Conditional,comenzaría
6444,comenzar,"to begin, to start",Indicative,yo,Future,comenzaré
6445,comenzar,"to begin, to start",Indicative,tú,Present,comienzas
6446,comenzar,"to begin, to start",Indicative,tú,Preterite,comenzaste
6447,comenzar,"to begin, to start",Indicative,tú,Imperfect,comenzabas
6448,comenzar,"to begin, to start",Indicative,tú,Conditional,comenzarías
6449,comenzar,"to begin, to start",Indicative,tú,Future,comenzarás
6450,comenzar,"to begin, to start",Indicative,él,Present,comienza
6451,comenzar,"to begin, to start",Indicative,ella,Present,comienza
6452,comenzar,"to begin, to start",Indicative,Ud.,Present,comienza
6453,comenzar,"to begin, to start",Indicative,él,Preterite,comenzó
6454,comenzar,"to begin, to start",Indicative,ella,Preterite,comenzó
6455,comenzar,"to begin, to start",Indicative,Ud.,Preterite,comenzó
6456,comenzar,"to begin, to start",Indicative,él,Imperfect,comenzaba
6457,comenzar,"to begin, to start",Indicative,ella,Imperfect,comenzaba
6458,comenzar,"to begin, to start",Indicative,Ud.,Imperfect,comenzaba
6459,comenzar,"to begin, to start",Indicative,él,Conditional,comenzaría
6460,comenzar,"to begin, to start",Indicative,ella,Conditional,comenzaría
6461,comenzar,"to begin, to start",Indicative,Ud.,Conditional,comenzaría
6462,comenzar,"to begin, to start",Indicative,él,Future,comenzará
6463,comenzar,"to begin, to start",Indicative,ella,Future,comenzará
6464,comenzar,"to begin, to start",Indicative,Ud.,Future,comenzará
6465,comenzar,"to begin, to start",Indicative,nosotros,Present,comenzamos
6466,comenzar,"to begin, to start",Indicative,nosotros,Preterite,comenzamos
6467,comenzar,"to begin, to start",Indicative,nosotros,Imperfect,comenzábamos
6468,comenzar,"to begin, to start",Indicative,nosotros,Conditional,comenzaríamos
6469,comenzar,"to begin, to start",Indicative,nosotros,Future,comenzaremos
6470,comenzar,"to begin, to start",Indicative,vosotros,Present,comenzáis
6471,comenzar,"to begin, to start",Indicative,vosotros,Preterite,comenzasteis
6472,comenzar,"to begin, to start",Indicative,vosotros,Imperfect,comenzabais
6473,comenzar,"to begin, to start",Indicative,vosotros,Conditional,comenzaríais
6474,comenzar,"to begin, to start",Indicative,vosotros,Future,comenzaréis
6475,comenzar,"to begin, to start",Indicative,ellos,Present,comienzan
6476,comenzar,"to begin, to start",Indicative,ellas,Present,comienzan
6477,comenzar,"to begin, to start",Indicative,Uds.,Present,comienzan
6478,comenzar,"to begin, to start",Indicative,ellos,Preterite,comenzaron
6479,comenzar,"to begin, to start",Indicative,ellas,Preterite,comenzaron
6480,comenzar,"to begin, to start",Indicative,Uds.,Preterite,comenzaron
6481,comenzar,"to begin, to start",Indicative,ellos,Imperfect,comenzaban
6482,comenzar,"to begin, to start",Indicative,ellas,Imperfect,comenzaban
6483,comenzar,"to begin, to start",Indicative,Uds.,Imperfect,comenzaban
6484,comenzar,"to begin, to start",Indicative,ellos,Conditional,comenzarían
6485,comenzar,"to begin, to start",Indicative,ellas,Conditional,comenzarían
6486,comenzar,"to begin, to start",Indicative,Uds.,Conditional,comenzarían
6487,comenzar,"to begin, to start",Indicative,ellos,Future,comenzarán
